,Time,U_mpers,V_mpers,date,ws_mpers_CTRL,ws_dir_degree_CTRL,dirn_CTRL,scenario
7377,9,3.5843706,-2.368757,2006-02-27,4.29636152147295,56.540992177362554,North_West,CTRL
7378,10,3.779276,-2.058388,2006-02-27,4.303473973747256,61.42501710285574,West,CTRL
7379,11,4.4029074,-0.83197784,2006-02-27,4.480823663036276,79.2994993012281,West,CTRL
7380,12,4.922425700000002,1.0540645,2006-02-27,5.034016958869006,102.08651035302742,West,CTRL
7381,13,6.094906,1.8299897,2006-02-27,6.363705009736238,106.71233432025585,West,CTRL
7382,14,6.0633974,3.7206936,2006-02-27,7.113954518789653,121.534602910103,South_West,CTRL
7383,15,6.1426363,4.8629985,2006-02-27,7.834585829836823,128.36793317641713,South_West,CTRL
7384,16,7.722359700000001,6.105321,2006-02-27,9.844276705234627,128.33000341230715,South_West,CTRL
7385,17,4.8755555,6.1689816,2006-02-27,7.863038561187324,141.67948564315589,South_West,CTRL
7386,18,6.3555365,7.618867999999999,2006-02-27,9.921693091617794,140.16568227170572,South_West,CTRL
7387,19,3.0260968,8.080147,2006-02-27,8.62821171417225,159.46856649437132,South,CTRL
7388,20,3.6378665,9.829254,2006-02-27,10.48085430050138,159.6901812715549,South,CTRL
7389,21,6.168169,9.721191,2006-02-27,11.512943293139335,147.60456497771543,South_West,CTRL
7390,22,6.6579123,-0.24472538,2006-02-27,6.66240847637755,87.89492245353318,West,CTRL
7391,23,5.7955513,-4.5963187,2006-02-27,7.396929123825736,51.582873320106145,North_West,CTRL
5064,0,6.583616,-3.5705419000000003,2006-02-28,7.489510604512929,61.52736243899823,West,CTRL
5065,1,6.2965230000000005,-1.5799325,2006-02-28,6.4917169219001885,75.91407926969295,West,CTRL
5066,2,6.1779175,-4.5636410000000005,2006-02-28,7.680721568556385,53.546637792969904,North_West,CTRL
5067,3,6.9511330000000005,-7.6594543,2006-02-28,10.343379049299001,42.224473589134924,North_West,CTRL
5068,4,6.777932000000002,-7.508708,2006-02-28,10.115387191100893,42.07181528474536,North_West,CTRL
5069,5,6.8482056,-7.8979254,2006-02-28,10.453475286422048,40.928204583328785,North_West,CTRL
5070,6,6.75475,-9.423307,2006-02-28,11.594195201856358,35.633450340358415,North_West,CTRL
5071,7,7.319601,-9.354304,2006-02-28,11.877691784333225,38.042641069564354,North_West,CTRL
5072,8,7.760086,-9.493813,2006-02-28,12.261786982588019,39.261996914737985,North_West,CTRL
5073,9,7.874362,-9.415502,2006-02-28,12.27425170098153,39.90637564801088,North_West,CTRL
5074,10,8.112867,-9.130453,2006-02-28,12.214081338557476,41.62270130124226,North_West,CTRL
5075,11,8.177174,-8.842552,2006-02-28,12.04395701167104,42.7611891853087,North_West,CTRL
5076,12,8.343823,-8.633791,2006-02-28,12.0067368292559,44.021515779024696,North_West,CTRL
5077,13,8.58189,-8.091372999999999,2006-02-28,11.794878252751445,46.68512005876281,North_West,CTRL
5078,14,8.543406,-7.340186,2006-02-28,11.26357476982472,49.33201835648451,North_West,CTRL
5079,15,8.887139999999997,-7.5370225999999985,2006-02-28,11.652809405997795,49.69932581268858,North_West,CTRL
5080,16,9.378097,-6.615526700000001,2006-02-28,11.476667498007508,54.7999714549726,North_West,CTRL
5081,17,9.474982,-6.883729,2006-02-28,11.711575848098539,54.00098304403181,North_West,CTRL
5082,18,9.905342,-7.797150999999999,2006-02-28,12.60600507114625,51.791372417177705,North_West,CTRL
5083,19,8.729237,-7.6126776,2006-02-28,11.582419386454228,48.908652733164395,North_West,CTRL
5084,20,9.116307,-3.4005566,2006-02-28,9.729894064585316,69.54352410721546,West,CTRL
5085,21,9.940123,-5.622032599999999,2006-02-28,11.419864088971975,60.50794052373314,West,CTRL
5086,22,11.65626,-5.870764,2006-02-28,13.051217074713605,63.26754193940799,West,CTRL
5087,23,10.03875,-4.3003483000000005,2006-02-28,10.921057506661747,66.81092423607386,West,CTRL
4896,0,11.227518,-4.761288,2006-03-01,12.195368951338374,67.01950706370945,West,CTRL
4897,1,11.0228615,-3.516408,2006-03-01,11.570159932803271,72.30677372359003,West,CTRL
4898,2,8.648709,-2.8860102000000003,2006-03-01,9.117522812759233,71.54652711429361,West,CTRL
4899,3,9.430507,-0.71112394,2006-03-01,9.45728076854495,85.68767233482951,West,CTRL
4900,4,9.26672,2.4551883,2006-03-01,9.58645133231567,104.83938172262499,West,CTRL
4901,5,3.8043432,-1.5118969999999998,2006-03-01,4.093758630158261,68.3264636218519,West,CTRL
